model,asset,criterion,target,weighting,threshold_dbm,lat,lon,gain,base
sionna-hybrid,smallcell,uplink_p50_mbps,10.0,area only,-87.59999999998809,42.0229911,-93.8473676,0.003381948848023675,0.31113929401817797
sionna-hybrid,smallcell,uplink_p50_mbps,25.0,route 0.7 / area 0.3,-84.19999999998731,41.9942,-93.8486543,0.00698141223725865,0.2196409977220226
sionna-hybrid,smallcell,uplink_p50_mbps,25.0,route only,-84.19999999998731,41.9942,-93.8486543,0.00942991855979422,0.24003429061294473
sionna-hybrid,smallcell,uplink_p50_mbps,25.0,area only,-84.19999999998731,42.0085378,-93.8163845,0.0014796026210103785,0.1720566476432044
sionna-hybrid,smallcell,uplink_p10_mbps,2.0,route 0.7 / area 0.3,-77.0999999999857,42.0082877,-93.6999007,0.0035773160093619666,0.05107542766096759
sionna-hybrid,smallcell,uplink_p10_mbps,2.0,route only,-77.0999999999857,42.0082877,-93.6999007,0.004929275610801538,0.053579082726103726
sionna-hybrid,smallcell,uplink_p10_mbps,2.0,area only,-77.0999999999857,42.009554,-93.7766101,0.00042274360600295935,0.04523356584231664
sionna-hybrid,smallcell,uplink_p10_mbps,5.0,route 0.7 / area 0.3,-77.0999999999857,42.0082877,-93.6999007,0.0035773160093619666,0.05107542766096759
sionna-hybrid,smallcell,uplink_p10_mbps,5.0,route only,-77.0999999999857,42.0082877,-93.6999007,0.004929275610801538,0.053579082726103726
sionna-hybrid,smallcell,uplink_p10_mbps,5.0,area only,-77.0999999999857,42.009554,-93.7766101,0.00042274360600295935,0.04523356584231664
sionna-hybrid,smallcell,rsrp,-110.0,route 0.7 / area 0.3,-109.99999999999318,41.9652013,-93.8469172,0.025070634694348337,0.9433845291604752
sionna-hybrid,smallcell,rsrp,-110.0,route only,-109.99999999999318,41.9651298,-93.8681324,0.026575225032147598,0.9549935705100728
sionna-hybrid,smallcell,rsrp,-110.0,area only,-109.99999999999318,41.9506765,-93.8605702,0.02198266751215383,0.916296766011414
sionna-hybrid,smallcell,rsrp,-100.0,route 0.7 / area 0.3,-99.9999999999909,41.9836968,-93.8544515,0.05067483143483775,0.7432060228189133
sionna-hybrid,smallcell,rsrp,-100.0,route only,-99.9999999999909,41.9836968,-93.8544515,0.05807972567509667,0.7606086583797684
sionna-hybrid,smallcell,rsrp,-100.0,area only,-99.9999999999909,41.9836968,-93.8544515,0.03339674487423372,0.7025998731769183
sionna-hybrid,smallcell,rsrp,-95.0,route 0.7 / area 0.3,-94.99999999998977,41.979648,-93.8497408,0.027398270411490233,0.6293085940440988
sionna-hybrid,smallcell,rsrp,-95.0,route only,-94.99999999998977,41.979648,-93.8497408,0.03343334762108885,0.6474496356622375
sionna-hybrid,smallcell,rsrp,-95.0,area only,-94.99999999998977,41.9905537,-93.8493287,0.014796026210103674,0.5869794969351089
sionna-hybrid,macro,availability,0.5,route 0.7 / area 0.3,-87.79999999998813,41.9651411,-93.8003173,0.3988892108239396,0.3681037367146298
sionna-hybrid,macro,availability,0.5,route only,-87.79999999998813,41.9651411,-93.8003173,0.4009858551221604,0.38898414059151304
sionna-hybrid,macro,availability,0.5,area only,-87.79999999998813,41.9744494,-93.8156068,0.3982244768547876,0.3193827943352357
sionna-hybrid,macro,availability,0.7,route 0.7 / area 0.3,-84.19999999998731,41.9744494,-93.8156068,0.3442565125935646,0.2196409977220226
sionna-hybrid,macro,availability,0.7,route only,-84.19999999998731,41.9744494,-93.8156068,0.3555507929704244,0.24003429061294473
sionna-hybrid,macro,availability,0.7,area only,-84.19999999998731,41.9744494,-93.8156068,0.3179031917142253,0.1720566476432044
sionna-hybrid,macro,availability,0.9,route 0.7 / area 0.3,-77.0999999999857,41.99784405318002,-93.8002232770352,0.1340992367511873,0.05107542766096759
sionna-hybrid,macro,availability,0.9,route only,-77.0999999999857,41.99784405318002,-93.8002232770352,0.15216459494213458,0.053579082726103726
sionna-hybrid,macro,availability,0.9,area only,-77.0999999999857,41.987064319080126,-93.77121215099265,0.09955611921369689,0.04523356584231664
sionna-hybrid,macro,uplink_p50_mbps,5.0,route 0.7 / area 0.3,-87.79999999998813,41.9651411,-93.8003173,0.3988892108239396,0.3681037367146298
sionna-hybrid,macro,uplink_p50_mbps,5.0,route only,-87.79999999998813,41.9651411,-93.8003173,0.4009858551221604,0.38898414059151304
sionna-hybrid,macro,uplink_p50_mbps,5.0,area only,-87.79999999998813,41.9744494,-93.8156068,0.3982244768547876,0.3193827943352357
sionna-hybrid,macro,uplink_p50_mbps,10.0,route 0.7 / area 0.3,-87.59999999998809,41.97089471793029,-93.8002232770352,0.3939292079319603,0.36308032228175
sionna-hybrid,macro,uplink_p50_mbps,10.0,route only,-87.59999999998809,41.97089471793029,-93.8002232770352,0.39734247749678536,0.385340762966138
sionna-hybrid,macro,uplink_p50_mbps,10.0,area only,-87.59999999998809,41.9744494,-93.8156068,0.3954766434157684,0.31113929401817797
sionna-hybrid,macro,uplink_p50_mbps,25.0,route 0.7 / area 0.3,-84.19999999998731,41.9744494,-93.8156068,0.3442565125935646,0.2196409977220226
sionna-hybrid,macro,uplink_p50_mbps,25.0,route only,-84.19999999998731,41.9744494,-93.8156068,0.3555507929704244,0.24003429061294473
sionna-hybrid,macro,uplink_p50_mbps,25.0,area only,-84.19999999998731,41.9744494,-93.8156068,0.3179031917142253,0.1720566476432044
